index,Core Density,CC AB,F1,Self Activation Status,Impurity
80_With Self Activation_Network_86,80,-0.9993514026017905,0.0,With Self Activation,40.0
80_With Self Activation_Network_87,80,-0.9999940204072768,0.0,With Self Activation,40.0
80_With Self Activation_Network_88,80,-0.8059675886556235,5.333333333333333e-05,With Self Activation,40.0
80_With Self Activation_Network_89,80,0.934033605100143,0.0003133333333333,With Self Activation,40.0
80_With Self Activation_Network_90,80,-0.348129136001329,0.0,With Self Activation,40.0
80_With Self Activation_Network_91,80,-0.9524783805620932,0.0001433333333333,With Self Activation,40.0
80_With Self Activation_Network_92,80,-0.335676137922961,0.0,With Self Activation,40.0
80_With Self Activation_Network_93,80,-0.9928081570460608,2e-05,With Self Activation,40.0
80_With Self Activation_Network_94,80,-0.6226594017655614,0.0186533333333332,With Self Activation,40.0
80_With Self Activation_Network_95,80,-0.8651004855883714,0.0,With Self Activation,40.0
80_With Self Activation_Network_96,80,0.8314490977441619,6.666666666666668e-06,With Self Activation,40.0
80_With Self Activation_Network_97,80,0.4128046434311785,0.0001233333333333,With Self Activation,40.0
80_With Self Activation_Network_98,80,-0.8952091452510766,0.4383,With Self Activation,40.0
80_With Self Activation_Network_99,80,-0.4456675143125048,0.0,With Self Activation,40.0
80_With Self Activation_Network_0,80,-0.4327685147680035,0.0,With Self Activation,60.0
80_With Self Activation_Network_1,80,-0.8779333619580009,0.0,With Self Activation,60.0
80_With Self Activation_Network_2,80,-0.127002004774789,0.0,With Self Activation,60.0
80_With Self Activation_Network_3,80,0.2941892816405102,1.3333333333333337e-05,With Self Activation,60.0
80_With Self Activation_Network_4,80,-0.6534850540641842,0.0,With Self Activation,60.0
80_With Self Activation_Network_5,80,-0.9471864915743914,0.0,With Self Activation,60.0
80_With Self Activation_Network_6,80,0.4120261172967077,2.3333333333333336e-05,With Self Activation,60.0
80_With Self Activation_Network_7,80,-0.9967161947593088,0.0,With Self Activation,60.0
80_With Self Activation_Network_8,80,0.0128376761417492,0.0,With Self Activation,60.0
80_With Self Activation_Network_9,80,-0.9143079667692804,0.0,With Self Activation,60.0
80_With Self Activation_Network_10,80,0.0218312433809905,6.666666666666668e-06,With Self Activation,60.0
80_With Self Activation_Network_11,80,0.8944271286303808,0.0,With Self Activation,60.0
80_With Self Activation_Network_12,80,0.6633965345858504,0.0,With Self Activation,60.0
80_With Self Activation_Network_13,80,-0.1045718177019574,0.00014,With Self Activation,60.0
80_With Self Activation_Network_14,80,0.6797040074513306,0.0005599999999999,With Self Activation,60.0
80_With Self Activation_Network_15,80,0.0971414457680679,0.0,With Self Activation,60.0
80_With Self Activation_Network_16,80,0.4051847765541496,4e-05,With Self Activation,60.0
80_With Self Activation_Network_17,80,0.1073397635183277,0.0,With Self Activation,60.0
80_With Self Activation_Network_18,80,0.3225409432182388,0.0,With Self Activation,60.0
80_With Self Activation_Network_19,80,0.7603163679727607,0.0,With Self Activation,60.0
80_With Self Activation_Network_20,80,0.9846908532094264,0.0,With Self Activation,60.0
80_With Self Activation_Network_21,80,0.3218748394121429,0.0,With Self Activation,60.0
80_With Self Activation_Network_22,80,0.2716490803005127,6.666666666666667e-05,With Self Activation,60.0
